rw,num_jobs,cache_size,qd,metric,unit,value
randread,4,2048KB,32,iops,KIOPS,1071.357044
randread,8,512KB,1,iops,KIOPS,107.414211
randread,8,512KB,2,iops,KIOPS,202.726936
randread,8,512KB,4,iops,KIOPS,364.227560
randread,8,512KB,6,iops,KIOPS,495.651511
randread,8,512KB,8,iops,KIOPS,604.482425
randread,8,512KB,10,iops,KIOPS,695.925750
randread,8,512KB,12,iops,KIOPS,773.712223
randread,8,512KB,14,iops,KIOPS,840.584469
randread,8,512KB,16,iops,KIOPS,898.603210
randread,8,512KB,18,iops,KIOPS,949.346403
randread,8,512KB,20,iops,KIOPS,994.042519
randread,8,512KB,22,iops,KIOPS,1033.662005
randread,8,512KB,24,iops,KIOPS,1068.981463
randread,8,512KB,26,iops,KIOPS,1100.629590
randread,8,512KB,28,iops,KIOPS,1129.120635
randread,8,512KB,30,iops,KIOPS,1154.879175
randread,8,512KB,32,iops,KIOPS,1178.258724
randread,8,1024KB,1,iops,KIOPS,124.742965
randread,8,1024KB,2,iops,KIOPS,234.166652
randread,8,1024KB,4,iops,KIOPS,416.383139
randread,8,1024KB,6,iops,KIOPS,561.143401
randread,8,1024KB,8,iops,KIOPS,678.173169
randread,8,1024KB,10,iops,KIOPS,774.218506
randread,8,1024KB,12,iops,KIOPS,854.087304
randread,8,1024KB,14,iops,KIOPS,921.284435
randread,8,1024KB,16,iops,KIOPS,978.414414
randread,8,1024KB,18,iops,KIOPS,1027.445129
randread,8,1024KB,20,iops,KIOPS,1069.885383
randread,8,1024KB,22,iops,KIOPS,1106.907233
randread,8,1024KB,24,iops,KIOPS,1139.431992
randread,8,1024KB,26,iops,KIOPS,1168.191737
randread,8,1024KB,28,iops,KIOPS,1193.773995
randread,8,1024KB,30,iops,KIOPS,1216.654634
randread,8,1024KB,32,iops,KIOPS,1237.222390
randread,8,1536KB,1,iops,KIOPS,147.822405
randread,8,1536KB,2,iops,KIOPS,273.748132
randread,8,1536KB,4,iops,KIOPS,475.366033
randread,8,1536KB,6,iops,KIOPS,628.200920
randread,8,1536KB,8,iops,KIOPS,747.048990
randread,8,1536KB,10,iops,KIOPS,841.555948
randread,8,1536KB,12,iops,KIOPS,918.184456
randread,8,1536KB,14,iops,KIOPS,981.378652
randread,8,1536KB,16,iops,KIOPS,1034.269657
randread,8,1536KB,18,iops,KIOPS,1079.113327
randread,8,1536KB,20,iops,KIOPS,1117.568395
randread,8,1536KB,22,iops,KIOPS,1150.877335
randread,8,1536KB,24,iops,KIOPS,1179.986604
randread,8,1536KB,26,iops,KIOPS,1205.628236
randread,8,1536KB,28,iops,KIOPS,1228.376315
randread,8,1536KB,30,iops,KIOPS,1248.686757
randread,8,1536KB,32,iops,KIOPS,1266.925810
randread,8,2048KB,1,iops,KIOPS,179.190649
randread,8,2048KB,2,iops,KIOPS,322.466241
randread,8,2048KB,4,iops,KIOPS,537.125390
randread,8,2048KB,6,iops,KIOPS,690.179339
randread,8,2048KB,8,iops,KIOPS,804.775457
randread,8,2048KB,10,iops,KIOPS,893.771356
randread,8,2048KB,12,iops,KIOPS,964.874156
randread,8,2048KB,14,iops,KIOPS,1022.982273
randread,8,2048KB,16,iops,KIOPS,1071.357044
randread,8,2048KB,18,iops,KIOPS,1112.253429
randread,8,2048KB,20,iops,KIOPS,1147.280173
randread,8,2048KB,22,iops,KIOPS,1177.615692
randread,8,2048KB,24,iops,KIOPS,1204.142886
randread,8,2048KB,26,iops,KIOPS,1227.536264
randread,8,2048KB,28,iops,KIOPS,1248.319987
randread,8,2048KB,30,iops,KIOPS,1266.907529
randread,8,2048KB,32,iops,KIOPS,1283.629422
randread,16,512KB,1,iops,KIOPS,202.726936
randread,16,512KB,2,iops,KIOPS,364.227560
randread,16,512KB,4,iops,KIOPS,604.482425
randread,16,512KB,6,iops,KIOPS,773.712223
randread,16,512KB,8,iops,KIOPS,898.603210
randread,16,512KB,10,iops,KIOPS,994.042519
randread,16,512KB,12,iops,KIOPS,1068.981463
randread,16,512KB,14,iops,KIOPS,1129.120635
randread,16,512KB,16,iops,KIOPS,1178.258724
randread,16,512KB,18,iops,KIOPS,1219.021262
randread,16,512KB,20,iops,KIOPS,1253.278225
randread,16,512KB,22,iops,KIOPS,1282.395271
randread,16,512KB,24,iops,KIOPS,1307.391160
randread,16,512KB,26,iops,KIOPS,1329.039878
randread,16,512KB,28,iops,KIOPS,1347.938855
randread,16,512KB,30,iops,KIOPS,1364.555731
randread,16,512KB,32,iops,KIOPS,1379.261125
randread,16,1024KB,1,iops,KIOPS,234.166652
randread,16,1024KB,2,iops,KIOPS,416.383139
randread,16,1024KB,4,iops,KIOPS,678.173169
randread,16,1024KB,6,iops,KIOPS,854.087304
randread,16,1024KB,8,iops,KIOPS,978.414414
randread,16,1024KB,10,iops,KIOPS,1069.885383
randread,16,1024KB,12,iops,KIOPS,1139.431992
randread,16,1024KB,14,iops,KIOPS,1193.773995
randread,16,1024KB,16,iops,KIOPS,1237.222390
