rw,num_jobs,cache_size,qd,metric,unit,value
randread,4,2048KB,20,latency_avg,us,375.257785
randread,4,2048KB,22,latency_avg,us,410.260071
randread,4,2048KB,24,latency_avg,us,445.729883
randread,4,2048KB,26,latency_avg,us,481.556647
randread,4,2048KB,28,latency_avg,us,517.652788
randread,4,2048KB,30,latency_avg,us,553.950154
randread,4,2048KB,32,latency_avg,us,590.396496
randread,8,512KB,1,latency_avg,us,149.804291
randread,8,512KB,2,latency_avg,us,164.734985
randread,8,512KB,4,latency_avg,us,197.249605
randread,8,512KB,6,latency_avg,us,233.154146
randread,8,512KB,8,latency_avg,us,272.194388
randread,8,512KB,10,latency_avg,us,314.051338
randread,8,512KB,12,latency_avg,us,358.369479
randread,8,512KB,14,latency_avg,us,404.783676
randread,8,512KB,16,latency_avg,us,452.941470
randread,8,512KB,18,latency_avg,us,502.519092
randread,8,512KB,20,latency_avg,us,553.231001
randread,8,512KB,22,latency_avg,us,604.833794
randread,8,512KB,24,latency_avg,us,657.125846
randread,8,512KB,26,latency_avg,us,709.944141
randread,8,512KB,28,latency_avg,us,763.159571
randread,8,512KB,30,latency_avg,us,816.671660
randread,8,512KB,32,latency_avg,us,870.403380
randread,8,1024KB,1,latency_avg,us,149.804291
randread,8,1024KB,2,latency_avg,us,164.734985
randread,8,1024KB,4,latency_avg,us,197.249605
randread,8,1024KB,6,latency_avg,us,233.154146
randread,8,1024KB,8,latency_avg,us,272.194388
randread,8,1024KB,10,latency_avg,us,314.051338
randread,8,1024KB,12,latency_avg,us,358.369479
randread,8,1024KB,14,latency_avg,us,404.783676
randread,8,1024KB,16,latency_avg,us,452.941470
randread,8,1024KB,18,latency_avg,us,502.519092
randread,8,1024KB,20,latency_avg,us,553.231001
randread,8,1024KB,22,latency_avg,us,604.833794
randread,8,1024KB,24,latency_avg,us,657.125846
randread,8,1024KB,26,latency_avg,us,709.944141
randread,8,1024KB,28,latency_avg,us,763.159571
randread,8,1024KB,30,latency_avg,us,816.671660
randread,8,1024KB,32,latency_avg,us,870.403380
randread,8,1536KB,1,latency_avg,us,149.804291
randread,8,1536KB,2,latency_avg,us,164.734985
randread,8,1536KB,4,latency_avg,us,197.249605
randread,8,1536KB,6,latency_avg,us,233.154146
randread,8,1536KB,8,latency_avg,us,272.194388
randread,8,1536KB,10,latency_avg,us,314.051338
randread,8,1536KB,12,latency_avg,us,358.369479
randread,8,1536KB,14,latency_avg,us,404.783676
randread,8,1536KB,16,latency_avg,us,452.941470
randread,8,1536KB,18,latency_avg,us,502.519092
randread,8,1536KB,20,latency_avg,us,553.231001
randread,8,1536KB,22,latency_avg,us,604.833794
randread,8,1536KB,24,latency_avg,us,657.125846
randread,8,1536KB,26,latency_avg,us,709.944141
randread,8,1536KB,28,latency_avg,us,763.159571
randread,8,1536KB,30,latency_avg,us,816.671660
randread,8,1536KB,32,latency_avg,us,870.403380
randread,8,2048KB,1,latency_avg,us,149.804291
randread,8,2048KB,2,latency_avg,us,164.734985
randread,8,2048KB,4,latency_avg,us,197.249605
randread,8,2048KB,6,latency_avg,us,233.154146
randread,8,2048KB,8,latency_avg,us,272.194388
randread,8,2048KB,10,latency_avg,us,314.051338
randread,8,2048KB,12,latency_avg,us,358.369479
randread,8,2048KB,14,latency_avg,us,404.783676
randread,8,2048KB,16,latency_avg,us,452.941470
randread,8,2048KB,18,latency_avg,us,502.519092
randread,8,2048KB,20,latency_avg,us,553.231001
randread,8,2048KB,22,latency_avg,us,604.833794
randread,8,2048KB,24,latency_avg,us,657.125846
randread,8,2048KB,26,latency_avg,us,709.944141
randread,8,2048KB,28,latency_avg,us,763.159571
randread,8,2048KB,30,latency_avg,us,816.671660
randread,8,2048KB,32,latency_avg,us,870.403380
randread,16,512KB,1,latency_avg,us,220.851856
randread,16,512KB,2,latency_avg,us,242.863717
randread,16,512KB,4,latency_avg,us,290.799021
randread,16,512KB,6,latency_avg,us,343.731980
randread,16,512KB,8,latency_avg,us,401.287807
randread,16,512KB,10,latency_avg,us,462.996220
randread,16,512KB,12,latency_avg,us,528.333091
randread,16,512KB,14,latency_avg,us,596.760113
randread,16,512KB,16,latency_avg,us,667.757667
randread,16,512KB,18,latency_avg,us,740.848429
randread,16,512KB,20,latency_avg,us,815.611435
randread,16,512KB,22,latency_avg,us,891.687845
randread,16,512KB,24,latency_avg,us,968.780407
randread,16,512KB,26,latency_avg,us,1046.648794
randread,16,512KB,28,latency_avg,us,1125.102663
randread,16,512KB,30,latency_avg,us,1203.993889
randread,16,512KB,32,latency_avg,us,1283.208910
randread,16,1024KB,1,latency_avg,us,220.851856
randread,16,1024KB,2,latency_avg,us,242.863717
randread,16,1024KB,4,latency_avg,us,290.799021
randread,16,1024KB,6,latency_avg,us,343.731980
randread,16,1024KB,8,latency_avg,us,401.287807
randread,16,1024KB,10,latency_avg,us,462.996220
randread,16,1024KB,12,latency_avg,us,528.333091
randread,16,1024KB,14,latency_avg,us,596.760113
randread,16,1024KB,16,latency_avg,us,667.757667
randread,16,1024KB,18,latency_avg,us,740.848429
randread,16,1024KB,20,latency_avg,us,815.611435
randread,16,1024KB,22,latency_avg,us,891.687845
randread,16,1024KB,24,latency_avg,us,968.780407
randread,16,1024KB,26,latency_avg,us,1046.648794
randread,16,1024KB,28,latency_avg,us,1125.102663
randread,16,1024KB,30,latency_avg,us,1203.993889
randread,16,1024KB,32,latency_avg,us,1283.208910
randread,16,1536KB,1,latency_avg,us,220.851856
randread,16,1536KB,2,latency_avg,us,242.863717
randread,16,1536KB,4,latency_avg,us,290.799021
randread,16,1536KB,6,latency_avg,us,343.731980
randread,16,1536KB,8,latency_avg,us,401.287807
randread,16,1536KB,10,latency_avg,us,462.996220
randread,16,1536KB,12,latency_avg,us,528.333091
randread,16,1536KB,14,latency_avg,us,596.760113
randread,16,1536KB,16,latency_avg,us,667.757667
randread,16,1536KB,18,latency_avg,us,740.848429
randread,16,1536KB,20,latency_avg,us,815.611435
randread,16,1536KB,22,latency_avg,us,891.687845
randread,16,1536KB,24,latency_avg,us,968.780407
randread,16,1536KB,26,latency_avg,us,1046.648794
randread,16,1536KB,28,latency_avg,us,1125.102663
randread,16,1536KB,30,latency_avg,us,1203.993889
randread,16,1536KB,32,latency_avg,us,1283.208910
randread,16,2048KB,1,latency_avg,us,220.851856
randread,16,2048KB,2,latency_avg,us,242.863717
randread,16,2048KB,4,latency_avg,us,290.799021
randread,16,2048KB,6,latency_avg,us,343.731980
randread,16,2048KB,8,latency_avg,us,401.287807
randread,16,2048KB,10,latency_avg,us,462.996220
randread,16,2048KB,12,latency_avg,us,528.333091
randread,16,2048KB,14,latency_avg,us,596.760113
randread,16,2048KB,16,latency_avg,us,667.757667
randread,16,2048KB,18,latency_avg,us,740.848429
randread,16,2048KB,20,latency_avg,us,815.611435
randread,16,2048KB,22,latency_avg,us,891.687845
randread,16,2048KB,24,latency_avg,us,968.780407
randread,16,2048KB,26,latency_avg,us,1046.648794
randread,16,2048KB,28,latency_avg,us,1125.102663
randread,16,2048KB,30,latency_avg,us,1203.993889
randread,16,2048KB,32,latency_avg,us,1283.208910
randread,32,512KB,1,latency_avg,us,325.595092
randread,32,512KB,2,latency_avg,us,358.046502
randread,32,512KB,4,latency_avg,us,428.716045
randread,32,512KB,6,latency_avg,us,506.753477
randread,32,512KB,8,latency_avg,us,591.606262
randread,32,512KB,10,latency_avg,us,682.581075
randread,32,512KB,12,latency_avg,us,778.905213
randread,32,512KB,14,latency_avg,us,879.785065
randread,32,512KB,16,latency_avg,us,984.454573
