rw,num_jobs,cache_size,qd,metric,unit,value
randwrite,8,1024KB,4,bandwidth,MiB/s,34.100000
randwrite,8,1024KB,8,bandwidth,MiB/s,43.800000
randwrite,8,1024KB,16,bandwidth,MiB/s,45.700000
randwrite,8,1024KB,24,bandwidth,MiB/s,49.100000
randwrite,8,1024KB,40,bandwidth,MiB/s,53.600000
randwrite,8,1024KB,56,bandwidth,MiB/s,54.500000
randwrite,8,1024KB,72,bandwidth,MiB/s,58.300000
randwrite,8,1024KB,88,bandwidth,MiB/s,54.500000
randwrite,8,1024KB,96,bandwidth,MiB/s,57.600000
randwrite,8,1024KB,112,bandwidth,MiB/s,61.100000
randwrite,8,1024KB,128,bandwidth,MiB/s,60.100000
randwrite,8,1536KB,1,bandwidth,MiB/s,27.100000
randwrite,8,1536KB,2,bandwidth,MiB/s,26.500000
randwrite,8,1536KB,4,bandwidth,MiB/s,38.600000
randwrite,8,1536KB,8,bandwidth,MiB/s,41.300000
randwrite,8,1536KB,16,bandwidth,MiB/s,46.700000
randwrite,8,1536KB,24,bandwidth,MiB/s,50.300000
randwrite,8,1536KB,40,bandwidth,MiB/s,61.000000
randwrite,8,1536KB,56,bandwidth,MiB/s,44.000000
randwrite,8,1536KB,72,bandwidth,MiB/s,66.800000
randwrite,8,1536KB,88,bandwidth,MiB/s,59.300000
randwrite,8,1536KB,96,bandwidth,MiB/s,58.700000
randwrite,8,1536KB,112,bandwidth,MiB/s,52.100000
randwrite,8,1536KB,128,bandwidth,MiB/s,69.100000
randwrite,8,2048KB,1,bandwidth,MiB/s,59.300000
randwrite,8,2048KB,2,bandwidth,MiB/s,103.000000
randwrite,8,2048KB,4,bandwidth,MiB/s,160.000000
randwrite,8,2048KB,8,bandwidth,MiB/s,213.000000
randwrite,8,2048KB,16,bandwidth,MiB/s,242.000000
randwrite,8,2048KB,24,bandwidth,MiB/s,247.000000
randwrite,8,2048KB,40,bandwidth,MiB/s,248.000000
randwrite,8,2048KB,56,bandwidth,MiB/s,246.000000
randwrite,8,2048KB,72,bandwidth,MiB/s,241.000000
randwrite,8,2048KB,88,bandwidth,MiB/s,233.000000
randwrite,8,2048KB,96,bandwidth,MiB/s,223.000000
randwrite,8,2048KB,112,bandwidth,MiB/s,221.000000
randwrite,8,2048KB,128,bandwidth,MiB/s,216.000000
randwrite,16,512KB,1,bandwidth,MiB/s,34.300000
randwrite,16,512KB,2,bandwidth,MiB/s,39.800000
randwrite,16,512KB,4,bandwidth,MiB/s,45.000000
randwrite,16,512KB,8,bandwidth,MiB/s,49.900000
randwrite,16,512KB,16,bandwidth,MiB/s,76.100000
randwrite,16,512KB,24,bandwidth,MiB/s,76.300000
randwrite,16,512KB,40,bandwidth,MiB/s,77.200000
randwrite,16,512KB,56,bandwidth,MiB/s,76.200000
randwrite,16,512KB,72,bandwidth,MiB/s,73.400000
randwrite,16,512KB,88,bandwidth,MiB/s,72.700000
randwrite,16,512KB,96,bandwidth,MiB/s,70.400000
randwrite,16,512KB,112,bandwidth,MiB/s,73.400000
randwrite,16,512KB,128,bandwidth,MiB/s,72.700000
randwrite,16,1024KB,1,bandwidth,MiB/s,30.000000
